,GVKEY,datadate,tic,prccd,caldt,vwretx,filing_date,year,td_count,excess_return
360,126554,2017-03-08,A,51.41,3/8/2017,-0.002221,filing date 0,2017,245,0.02202179588957698
422,126554,2017-06-06,A,60.1,6/6/2017,-0.00292,filing date 0,2017,245,-0.017500261337389467
486,126554,2017-09-06,A,64.71,9/6/2017,0.003118,filing date 0,2017,245,0.016082530500466152
561,126554,2017-12-21,A,67.52,12/21/2017,0.001918,filing date 0,2017,245,-0.002827988198622622
610,126554,2018-03-06,A,68.11,3/6/2018,0.002611,filing date 0,2018,244,0.0290072934149459
670,126554,2018-05-31,A,61.92,5/31/2018,-0.006886,filing date 0,2018,244,0.003890012621101002
734,126554,2018-08-30,A,67.26,8/30/2018,-0.004436,filing date 0,2018,244,0.008088126451287314
811,126554,2018-12-20,A,65.19,12/20/2018,-0.015984,filing date 0,2018,244,-0.0033645552079374363
860,126554,2019-03-05,A,79.74,3/5/2019,-0.001095,filing date 0,2019,244,-0.008943809768318323
920,126554,2019-05-30,A,66.89,5/30/2019,0.002005,filing date 0,2019,244,0.0036217236301281375
985,126554,2019-08-30,A,71.11,8/30/2019,0.000633,filing date 0,2019,244,0.022207202043964314
1062,126554,2019-12-19,A,84.51,12/19/2019,0.00447,filing date 0,2019,244,0.012375031351380628
1111,126554,2020-03-03,A,80.32,3/3/2020,-0.028047,filing date 0,2020,244,-0.0037015020718924596
1173,126554,2020-06-01,A,89.91,6/1/2020,0.003935,filing date 0,2020,244,0.01191700260865769
1238,126554,2020-09-01,A,101.12,9/1/2020,0.007933,filing date 0,2020,244,-0.014921801850807603
1314,126554,2020-12-18,A,119.3,12/18/2020,-0.003434,filing date 0,2020,244,-0.0052216950211083635
1362,126554,2021-03-02,A,123.64,3/2/2021,-0.008146,filing date 0,2021,242,-0.05126769149571364
1425,126554,2021-06-01,A,137.2,6/1/2021,-0.000397,filing date 0,2021,242,-0.007762970915730527
1490,126554,2021-09-01,A,175.45,9/1/2021,0.000384,filing date 0,2021,242,0.013141567687069755
1565,126554,2021-12-17,A,151.42,12/17/2021,-0.010268,filing date 0,2021,242,0.03373661545587958
3015,1045,2017-02-22,AAL,46.32,2/22/2017,-0.001103,filing date 0,2017,206,-0.012047905753238441
3060,1045,2017-04-27,AAL,43.98,4/27/2017,0.000614,filing date 0,2017,206,-0.056278454593261196
3124,1045,2017-07-28,AAL,50.49,7/28/2017,-0.001454,filing date 0,2017,206,0.008667219082673316
3187,1045,2017-10-26,AAL,48.61,10/26/2017,0.001247,filing date 0,2017,206,-0.0896548122609514
3266,1045,2018-02-21,AAL,52.78,2/21/2018,-0.005498,filing date 0,2018,206,0.0404570358470584
3311,1045,2018-04-26,AAL,42.37,4/26/2018,0.010462,filing date 0,2018,206,-0.047716191179261624
3374,1045,2018-07-26,AAL,40.02,7/26/2018,-0.003051,filing date 0,2018,206,0.04597810042847161
3438,1045,2018-10-25,AAL,32.37,10/25/2018,0.018863,filing date 0,2018,206,0.13257830199180654
3519,1045,2019-02-25,AAL,35.9,2/25/2019,0.001182,filing date 0,2019,205,0.006658626937823708
3562,1045,2019-04-26,AAL,33.06,4/26/2019,0.004724,filing date 0,2019,205,0.01600297553075347
3624,1045,2019-07-25,AAL,31.67,7/25/2019,-0.005346,filing date 0,2019,205,-0.1098108898106771
3688,1045,2019-10-24,AAL,29.41,10/24/2019,0.001984,filing date 0,2019,205,0.08236281611233354
3767,1045,2020-02-19,AAL,28.33,2/19/2020,0.004617,filing date 0,2020,204,-0.0679904728181524
3817,1045,2020-04-30,AAL,12.01,4/30/2020,-0.008969,filing date 0,2020,204,-0.22325298343805955
3875,1045,2020-07-23,AAL,11.77,7/23/2020,-0.012492,filing date 0,2020,204,0.05378521979355966
3939,1045,2020-10-22,AAL,13.15,10/22/2020,0.005169,filing date 0,2020,204,-0.10617564071862662
4018,1045,2021-02-17,AAL,17.99,2/17/2021,-0.000211,filing date 0,2021,202,0.16183428403733702
4063,1045,2021-04-22,AAL,20.07,4/22/2021,-0.009314,filing date 0,2021,202,0.03270243578086385
4126,1045,2021-07-22,AAL,21.16,7/22/2021,0.001999,filing date 0,2021,202,-0.0067577222368444545
4190,1045,2021-10-21,AAL,19.89,10/21/2021,0.002985,filing date 0,2021,202,-0.015457928910152963
4530,145977,2017-02-28,AAP,156.61,2/28/2017,-0.002715,filing date 0,2017,219,-0.015407500851201572
4590,145977,2017-05-24,AAP,133.02,5/24/2017,0.002578,filing date 0,2017,219,-0.06069735887364236
4647,145977,2017-08-15,AAP,87.08,8/15/2017,-0.000499,filing date 0,2017,219,-0.1304729158432153
4711,145977,2017-11-14,AAP,95.72,11/14/2017,-0.002156,filing date 0,2017,219,0.086563370120325
4777,145977,2018-02-21,AAP,114.0,2/21/2018,-0.005498,filing date 0,2018,219,0.06721423416695171
4840,145977,2018-05-22,AAP,115.33,5/22/2018,-0.003211,filing date 0,2018,219,0.0524633735593395
4898,145977,2018-08-14,AAP,156.13,8/14/2018,0.006532,filing date 0,2018,219,0.0923766417246834
4962,145977,2018-11-13,AAP,184.72,11/13/2018,-0.001589,filing date 0,2018,219,0.0696347385111511
5026,145977,2019-02-19,AAP,167.14,2/19/2019,0.001681,filing date 0,2019,218,-0.05604324993144583
5091,145977,2019-05-22,AAP,166.29,5/22/2019,-0.002713,filing date 0,2019,218,-0.02033334514566343
5148,145977,2019-08-13,AAP,142.23,8/13/2019,0.014928,filing date 0,2019,218,-0.04127641248537062
5212,145977,2019-11-12,AAP,156.14,11/12/2019,0.0015,filing date 0,2019,218,-0.047028126170025386
5277,145977,2020-02-18,AAP,141.81,2/18/2020,-0.00272,filing date 0,2020,217,0.06517625562340901
5341,145977,2020-05-19,AAP,135.82,5/19/2020,-0.010493,filing date 0,2020,217,0.017973634588210663
5404,145977,2020-08-18,AAP,162.85,8/18/2020,0.002553,filing date 0,2020,217,-0.03492084620269631
5463,145977,2020-11-10,AAP,155.42,11/10/2020,-0.001589,filing date 0,2020,217,-0.026760573451634517
5532,145977,2021-02-22,AAP,167.7,2/22/2021,-0.008016,filing date 0,2021,220,-0.011727346417875317
5602,145977,2021-06-02,AAP,191.33,6/2/2021,0.001374,filing date 0,2021,220,-0.014201172520174166
5660,145977,2021-08-24,AAP,207.78,8/24/2021,0.001542,filing date 0,2021,220,-0.02559391344998474
5719,145977,2021-11-16,AAP,235.69,11/16/2021,0.003832,filing date 0,2021,220,-0.05280703303456802
6023,1690,2017-02-01,AAPL,128.75,2/1/2017,0.000183,filing date 0,2017,212,0.06787723502050591
6086,1690,2017-05-03,AAPL,147.06,5/3/2017,-0.001364,filing date 0,2017,212,0.034035604929623764
6149,1690,2017-08-02,AAPL,157.14,8/2/2017,0.000275,filing date 0,2017,212,0.056799811605962036
6215,1690,2017-11-03,AAPL,172.5,11/3/2017,0.003182,filing date 0,2017,212,0.042428770635974056
6276,1690,2018-02-02,AAPL,160.5,2/2/2018,-0.02088,filing date 0,2018,213,0.00011153573920863469
6337,1690,2018-05-02,AAPL,176.57,5/2/2018,-0.007358,filing date 0,2018,213,0.08852168072444222
6400,1690,2018-08-01,AAPL,201.5,8/1/2018,-0.001194,filing date 0,2018,213,0.08674867873665915
6467,1690,2018-11-05,AAPL,201.59,11/5/2018,0.005253,filing date 0,2018,213,-0.025687738411448446
6524,1690,2019-01-30,AAPL,165.25,1/30/2019,0.015471,filing date 0,2019,210,0.07529878115810607
6587,1690,2019-05-01,AAPL,210.52,5/1/2019,-0.007588,filing date 0,2019,210,0.04322595350784042
6650,1690,2019-07-31,AAPL,213.04,7/31/2019,-0.01095,filing date 0,2019,210,-0.017879094646576443
6715,1690,2019-10-31,AAPL,248.76,10/31/2019,-0.002978,filing date 0,2019,210,0.047902249181171586
6775,1690,2020-01-29,AAPL,324.34,1/29/2020,-0.000925,filing date 0,2020,210,-0.020306647149753276
6840,1690,2020-05-01,AAPL,289.07,5/1/2020,-0.028094,filing date 0,2020,210,0.04500268010881647
6903,1690,2020-07-31,AAPL,425.04,7/31/2020,0.007786,filing date 0,2020,210,0.11926801670934317
6967,1690,2020-10-30,AAPL,108.86,10/30/2020,-0.012335,filing date 0,2020,210,-0.04326851369011375
7027,1690,2021-01-28,AAPL,137.09,1/28/2021,0.009316,filing date 0,2021,208,-0.06967578246615258
7090,1690,2021-04-29,AAPL,133.48,4/29/2021,0.006712,filing date 0,2021,208,-0.03825155490744758
7152,1690,2021-07-28,AAPL,144.98,7/28/2021,-0.000175,filing date 0,2021,208,-0.005208348279587494
7218,1690,2021-10-29,AAPL,149.8,10/29/2021,0.001895,filing date 0,2021,208,-0.021454988130363062
7546,16101,2017-02-17,ABBV,61.77,2/17/2017,0.001984,filing date 0,2017,214,0.0001849382493477325
7599,16101,2017-05-05,ABBV,66.99,5/5/2017,0.004022,filing date 0,2017,214,-0.022737352615623485
7663,16101,2017-08-07,ABBV,71.22,8/7/2017,0.00171,filing date 0,2017,214,0.007906285313361239
7728,16101,2017-11-07,ABBV,93.96,11/7/2017,-9.7e-05,filing date 0,2017,214,0.029616709933340313
7797,16101,2018-02-16,ABBV,118.6,2/16/2018,0.000346,filing date 0,2018,215,0.03370202846348114
7850,16101,2018-05-04,ABBV,100.17,5/4/2018,0.01276,filing date 0,2018,215,-0.016507077418944638
7915,16101,2018-08-07,ABBV,94.06,8/7/2018,0.002763,filing date 0,2018,215,-0.0071096994375423606
7980,16101,2018-11-07,ABBV,86.96,11/7/2018,0.021367,filing date 0,2018,215,0.08233586711837948
8054,16101,2019-02-27,ABBV,79.41,2/27/2019,-0.000489,filing date 0,2019,214,-0.012958819509935604
8100,16101,2019-05-03,ABBV,78.71,5/3/2019,0.009752,filing date 0,2019,214,0.006646112981551933
8164,16101,2019-08-05,ABBV,65.23,8/5/2019,-0.029861,filing date 0,2019,214,-0.00041510000684175097
8230,16101,2019-11-06,ABBV,82.08,11/6/2019,0.000754,filing date 0,2019,214,0.042684728628123336
8302,16101,2020-02-21,ABBV,94.96,2/21/2020,-0.010626,filing date 0,2020,213,0.014454534406613373
8356,16101,2020-05-08,ABBV,83.96,5/8/2020,0.016904,filing date 0,2020,213,0.07624314727617754
8416,16101,2020-08-04,ABBV,94.29,8/4/2020,0.003774,filing date 0,2020,213,-0.04873144351414749
8481,16101,2020-11-04,ABBV,94.5,11/4/2020,0.022216,filing date 0,2020,213,0.027240966561656643
8553,16101,2021-02-19,ABBV,105.01,2/19/2021,-0.00198,filing date 0,2021,210,0.02239566827443995
8607,16101,2021-05-07,ABBV,115.75,5/7/2021,0.007251,filing date 0,2021,210,0.023753974757906526
8666,16101,2021-08-02,ABBV,115.45,8/2/2021,-0.001676,filing date 0,2021,210,-0.018210552459437035
8731,16101,2021-11-02,ABBV,116.53,11/2/2021,0.003557,filing date 0,2021,210,0.0023601793193617215
9044,31673,2017-01-31,ABC,87.28,1/31/2017,-0.000826,filing date 0,2017,224,0.06056167960816339
9109,31673,2017-05-04,ABC,86.53,5/4/2017,0.000723,filing date 0,2017,224,0.055173680530046454
9172,31673,2017-08-03,ABC,81.71,8/3/2017,-0.002195,filing date 0,2017,224,-0.11875035483219354
9249,31673,2017-11-21,ABC,79.46,11/21/2017,0.006405,filing date 0,2017,224,0.039746290920431804
9300,31673,2018-02-06,ABC,91.54,2/6/2018,0.017393,filing date 0,2018,224,-0.018249854374632446
9359,31673,2018-05-02,ABC,92.18,5/2/2018,-0.007358,filing date 0,2018,224,-0.057012245919648374
9423,31673,2018-08-02,ABC,78.98,8/2/2018,0.004988,filing date 0,2018,224,0.0337399485263592
9500,31673,2018-11-20,ABC,88.87,11/20/2018,-0.018038,filing date 0,2018,224,-0.014744913072420207
9547,31673,2019-01-31,ABC,83.37,1/31/2019,0.008829,filing date 0,2019,223,0.07114730777179834
9610,31673,2019-05-02,ABC,77.06,5/2/2019,-0.002096,filing date 0,2019,223,0.06869291112389453
9673,31673,2019-08-01,ABC,91.7,8/1/2019,-0.008965,filing date 0,2019,223,-0.0016500743499940906
9750,31673,2019-11-19,ABC,87.81,11/19/2019,-0.00058,filing date 0,2019,223,0.032175412544433235
9798,31673,2020-01-30,ABC,88.88,1/30/2020,0.003226,filing date 0,2020,224,-0.027380447544770314
9866,31673,2020-05-07,ABC,88.74,5/7/2020,0.011688,filing date 0,2020,224,0.028272443436196282
9928,31673,2020-08-05,ABC,103.5,8/5/2020,0.006357,filing date 0,2020,224,-0.032150569556360864
10003,31673,2020-11-19,ABC,101.9,11/19/2020,0.00415,filing date 0,2020,224,-0.022138816657246374
10054,31673,2021-02-04,ABC,111.92,2/4/2021,0.010879,filing date 0,2021,225,-0.002878136065991743
10116,31673,2021-05-05,ABC,118.82,5/5/2021,0.000713,filing date 0,2021,225,-0.02588359541338825
10179,31673,2021-08-04,ABC,125.55,8/4/2021,-0.004548,filing date 0,2021,225,-0.030486021842684008
10257,31673,2021-11-23,ABC,123.66,11/23/2021,0.001454,filing date 0,2021,225,-0.001245271111703361
10558,13619,2017-02-03,ABMD,104.96,2/3/2017,0.007119,filing date 0,2017,211,0.038456280922229746
10635,13619,2017-05-25,ABMD,135.88,5/25/2017,0.004504,filing date 0,2017,211,0.015572583304981347
10681,13619,2017-08-01,ABMD,146.78,8/1/2017,0.002373,filing date 0,2017,211,0.01747409655942822
10747,13619,2017-11-02,ABMD,190.05,11/2/2017,0.000223,filing date 0,2017,211,0.03951438426987419
10811,13619,2018-02-06,ABMD,232.11,2/6/2018,0.017393,filing date 0,2018,214,-0.0304958330392473
10886,13619,2018-05-24,ABMD,394.46,5/24/2018,-0.001996,filing date 0,2018,214,-0.014375286924932507
10934,13619,2018-08-02,ABMD,372.2,8/2/2018,0.004988,filing date 0,2018,214,0.02042031020636359
11001,13619,2018-11-06,ABMD,389.85,11/6/2018,0.006183,filing date 0,2018,214,0.015298108007631983
11061,13619,2019-02-05,ABMD,344.28,2/5/2019,0.004863,filing date 0,2019,210,0.038771373101654905
11136,13619,2019-05-23,ABMD,262.64,5/23/2019,-0.011998,filing date 0,2019,210,0.006319187652534919
11184,13619,2019-08-01,ABMD,204.87,8/1/2019,-0.008965,filing date 0,2019,210,-0.24706636658053938
11248,13619,2019-10-31,ABMD,207.58,10/31/2019,-0.002978,filing date 0,2019,210,0.18767221451484017
11314,13619,2020-02-06,ABMD,196.01,2/6/2020,0.003301,filing date 0,2020,215,-0.08554853332987511
11387,13619,2020-05-21,ABMD,196.32,5/21/2020,-0.007995,filing date 0,2020,215,0.03702072465349593
11440,13619,2020-08-06,ABMD,314.98,8/6/2020,0.006383,filing date 0,2020,215,-0.07158243567878608
11505,13619,2020-11-06,ABMD,272.21,11/6/2020,-0.000144,filing date 0,2020,215,-0.029399403904943333
11565,13619,2021-02-04,ABMD,324.78,2/4/2021,0.010879,filing date 0,2021,207,-0.02624680853718875
11639,13619,2021-05-21,ABMD,280.0,5/21/2021,-0.000904,filing date 0,2021,207,0.012292390836134093
11691,13619,2021-08-05,ABMD,348.86,8/5/2021,0.006074,filing date 0,2021,207,-0.0033890419592743637
11750,13619,2021-10-28,ABMD,343.14,10/28/2021,0.009912,filing date 0,2021,207,-0.002509214812362437
12079,1078,2017-02-17,ABT,44.69,2/17/2017,0.001984,filing date 0,2017,211,0.019852151513713556
12130,1078,2017-05-03,ABT,43.72,5/3/2017,-0.001364,filing date 0,2017,211,0.021520639376052086
12193,1078,2017-08-02,ABT,49.23,8/2/2017,0.000275,filing date 0,2017,211,0.0014711537797984509
12258,1078,2017-11-02,ABT,54.37,11/2/2017,0.000223,filing date 0,2017,211,0.01694906602664803
12330,1078,2018-02-16,ABT,60.17,2/16/2018,0.000346,filing date 0,2018,210,0.0019800341827400647
12381,1078,2018-05-02,ABT,57.85,5/2/2018,-0.007358,filing date 0,2018,210,0.002048802227545554
12444,1078,2018-08-01,ABT,64.78,8/1/2018,-0.001194,filing date 0,2018,210,-0.016520149515187876
12508,1078,2018-10-31,ABT,68.94,10/31/2018,0.010865,filing date 0,2018,210,0.014616313671401038
12584,1078,2019-02-22,ABT,76.13,2/22/2019,0.006143,filing date 0,2019,210,0.02177852831855631
12631,1078,2019-05-01,ABT,78.74,5/1/2019,-0.007588,filing date 0,2019,210,-0.001852539573519607
12694,1078,2019-07-31,ABT,87.1,7/31/2019,-0.01095,filing date 0,2019,210,-0.002242942190100905
12759,1078,2019-10-31,ABT,83.61,10/31/2019,-0.002978,filing date 0,2019,210,-0.028993519962170144
12835,1078,2020-02-21,ABT,87.45,2/21/2020,-0.010626,filing date 0,2020,213,-0.004043961523930495
12882,1078,2020-04-29,ABT,92.28,4/29/2020,0.026168,filing date 0,2020,213,-0.010613066463925125
12945,1078,2020-07-29,ABT,102.52,7/29/2020,0.012315,filing date 0,2020,213,-0.015099637037925273
13014,1078,2020-11-04,ABT,111.53,11/4/2020,0.022216,filing date 0,2020,213,-0.05571133128158301
13086,1078,2021-02-19,ABT,123.04,2/19/2021,-0.00198,filing date 0,2021,211,-0.026562369012513964
13138,1078,2021-05-05,ABT,118.51,5/5/2021,0.000713,filing date 0,2021,211,0.006686758745964472
13201,1078,2021-08-04,ABT,121.57,8/4/2021,-0.004548,filing date 0,2021,211,0.006160496462716214
13265,1078,2021-11-03,ABT,128.7,11/3/2021,0.00677,filing date 0,2021,211,-0.022276858383607157
13613,143357,2017-03-23,ACN,120.76,3/23/2017,-0.001053,filing date 0,2017,245,-0.04498205981811665
13676,143357,2017-06-22,ACN,122.08,6/22/2017,-0.000303,filing date 0,2017,245,-0.032229582271323665
13764,143357,2017-10-26,ACN,141.97,10/26/2017,0.001247,filing date 0,2017,245,0.0011668380866918238
13803,143357,2017-12-21,ACN,154.2,12/21/2017,0.001918,filing date 0,2017,245,0.009001655082777837
13864,143357,2018-03-22,ACN,150.23,3/22/2018,-0.025092,filing date 0,2018,244,-0.04457185182211443
13932,143357,2018-06-28,ACN,164.5,6/28/2018,0.0061,filing date 0,2018,244,0.04660312445010639
14014,143357,2018-10-24,ACN,153.12,10/24/2018,-0.030793,filing date 0,2018,244,0.0025501096891902275
14053,143357,2018-12-20,ACN,143.5,12/20/2018,-0.015984,filing date 0,2018,244,-0.06322188923876715
14119,143357,2019-03-28,ACN,175.12,3/28/2019,0.003572,filing date 0,2019,244,0.031506941139299416
14182,143357,2019-06-27,ACN,183.0,6/27/2019,0.003761,filing date 0,2019,244,0.008573388426414308
14268,143357,2019-10-29,ACN,184.8,10/29/2019,-0.000971,filing date 0,2019,244,0.02037831334294582
14304,143357,2019-12-19,ACN,208.3,12/19/2019,0.00447,filing date 0,2019,244,0.018392213550667336
14365,143357,2020-03-19,ACN,158.5,3/19/2020,0.004561,filing date 0,2020,243,0.017765024526434914
14433,143357,2020-06-25,ACN,217.32,6/25/2020,0.010876,filing date 0,2020,243,0.04780500383253572
14516,143357,2020-10-22,ACN,228.14,10/22/2020,0.005169,filing date 0,2020,243,-0.04067314893131735
14555,143357,2020-12-17,ACN,264.47,12/17/2020,0.005682,filing date 0,2020,243,0.05247023555908359
14616,143357,2021-03-18,ACN,266.89,3/18/2021,-0.015083,filing date 0,2021,241,0.022762203052853147
14684,143357,2021-06-24,ACN,291.56,6/24/2021,0.00576,filing date 0,2021,241,0.02609294360851644
14763,143357,2021-10-15,ACN,341.82,10/15/2021,0.007595,filing date 0,2021,241,-0.0023619909119270144
14806,143357,2021-12-16,ACN,400.6,12/16/2021,-0.009019,filing date 0,2021,241,0.06016532269698771
15081,12540,2017-01-20,ADBE,110.71,1/20/2017,0.00337,filing date 0,2017,185,0.02529764960330061
15128,12540,2017-03-29,ADBE,129.58,3/29/2017,0.001246,filing date 0,2017,185,0.006625207285437584
15191,12540,2017-06-28,ADBE,143.81,6/28/2017,0.00879,filing date 0,2017,185,-0.032499140694365325
15254,12540,2017-09-27,ADBE,146.43,9/27/2017,0.004093,filing date 0,2017,185,0.004648590978495903
15333,12540,2018-01-22,ADBE,197.84,1/22/2018,0.008081,filing date 0,2018,185,-0.0015384652784784514
15379,12540,2018-03-28,ADBE,212.54,3/28/2018,-0.003059,filing date 0,2018,185,0.009741945054195345
15442,12540,2018-06-27,ADBE,237.68,6/27/2018,-0.008635,filing date 0,2018,185,0.003057285280354538
15505,12540,2018-09-26,ADBE,268.47,9/26/2018,-0.003269,filing date 0,2018,185,0.02552583459210811
15587,12540,2019-01-25,ADBE,244.95,1/25/2019,0.008439,filing date 0,2019,185,-0.014005569586598599
15629,12540,2019-03-27,ADBE,262.34,3/27/2019,-0.004697,filing date 0,2019,185,0.007654611106732823
15692,12540,2019-06-26,ADBE,288.72,6/26/2019,-0.001157,filing date 0,2019,185,0.029058021231037845
15756,12540,2019-09-26,ADBE,283.81,9/26/2019,-0.002507,filing date 0,2019,185,-0.0020258237891082054
15835,12540,2020-01-21,ADBE,350.0,1/21/2020,-0.002635,filing date 0,2020,183,0.014978798910285751
15880,12540,2020-03-25,ADBE,305.91,3/25/2020,0.010967,filing date 0,2020,183,-0.04522878041723111
15943,12540,2020-06-24,ADBE,431.68,6/24/2020,-0.025574,filing date 0,2020,183,-0.012250773027977613
16006,12540,2020-09-23,ADBE,470.39,9/23/2020,-0.023895,filing date 0,2020,183,-0.007264298409573877
16085,12540,2021-01-15,ADBE,458.08,1/15/2021,-0.007251,filing date 0,2021,186,0.00357667885900792
16136,12540,2021-03-31,ADBE,475.37,3/31/2021,0.003765,filing date 0,2021,186,0.025975786717772342
16199,12540,2021-06-30,ADBE,585.64,6/30/2021,0.001416,filing date 0,2021,186,-0.0019953706526978365
16262,12540,2021-09-29,ADBE,577.7,9/29/2021,0.001565,filing date 0,2021,186,-0.02282909917876741
16610,1632,2017-02-15,ADI,81.6,2/15/2017,0.005001,filing date 0,2017,225,0.051831874972259495
16682,1632,2017-05-31,ADI,85.76,5/31/2017,-0.000398,filing date 0,2017,225,-0.08117548168320832
16746,1632,2017-08-30,ADI,83.72,8/30/2017,0.004625,filing date 0,2017,225,0.03862107344836052
16805,1632,2017-11-22,ADI,88.65,11/22/2017,-0.000706,filing date 0,2017,225,-0.045343078355099764
16870,1632,2018-02-28,ADI,90.15,2/28/2018,-0.011009,filing date 0,2018,228,-0.0037446953715354336
16933,1632,2018-05-30,ADI,94.98,5/30/2018,0.012732,filing date 0,2018,228,0.03772132406526274
16992,1632,2018-08-22,ADI,97.92,8/22/2018,-0.000323,filing date 0,2018,228,0.03157686261796644
17059,1632,2018-11-27,ADI,89.58,11/27/2018,0.003133,filing date 0,2018,228,-0.011866658008328201
17115,1632,2019-02-20,ADI,106.82,2/20/2019,0.001644,filing date 0,2019,228,0.029888379751612515
17179,1632,2019-05-22,ADI,101.44,5/22/2019,-0.002713,filing date 0,2019,228,-0.006281132211158669
17242,1632,2019-08-21,ADI,108.59,8/21/2019,0.008207,filing date 0,2019,228,-0.030922306154067214
17310,1632,2019-11-26,ADI,114.89,11/26/2019,0.002239,filing date 0,2019,228,-0.00849816907837786
17366,1632,2020-02-19,ADI,123.89,2/19/2020,0.004617,filing date 0,2020,227,0.03287688673497624
17430,1632,2020-05-20,ADI,114.57,5/20/2020,0.016523,filing date 0,2020,227,0.03692362249597192
17493,1632,2020-08-19,ADI,118.15,8/19/2020,-0.004516,filing date 0,2020,227,-0.017522073767569313
17561,1632,2020-11-24,ADI,136.89,11/24/2020,0.016057,filing date 0,2020,227,0.002142064793379861
17617,1632,2021-02-17,ADI,159.75,2/17/2021,-0.000211,filing date 0,2021,232,0.007019823077114018
17681,1632,2021-05-19,ADI,153.12,5/19/2021,-0.003006,filing date 0,2021,232,0.09718855240199176
17744,1632,2021-08-18,ADI,165.78,8/18/2021,-0.010652,filing date 0,2021,232,0.012913105522766921
17819,1632,2021-12-03,ADI,180.79,12/3/2021,-0.008584,filing date 0,2021,232,0.004317859405089219
18123,1722,2017-02-17,ADM,44.69,2/17/2017,0.001984,filing date 0,2017,209,0.015151809838582109
18173,1722,2017-05-02,ADM,41.67,5/2/2017,0.001156,filing date 0,2017,209,-0.07670003014464222
18236,1722,2017-08-01,ADM,43.3,8/1/2017,0.002373,filing date 0,2017,209,0.007476603909139179
18300,1722,2017-10-31,ADM,40.87,10/31/2017,0.001029,filing date 0,2017,209,-0.07682317084486745
18374,1722,2018-02-16,ADM,43.13,2/16/2018,0.000346,filing date 0,2018,214,-0.02278187057916481
18424,1722,2018-05-01,ADM,45.03,5/1/2018,0.002448,filing date 0,2018,214,-0.03903182929576443
18487,1722,2018-07-31,ADM,48.26,7/31/2018,0.004772,filing date 0,2018,214,0.04155852175059094
18556,1722,2018-11-06,ADM,47.33,11/6/2018,0.006183,filing date 0,2018,214,-0.012578563161396161
18625,1722,2019-02-19,ADM,41.85,2/19/2019,0.001681,filing date 0,2019,210,0.006225987608267758
18672,1722,2019-04-26,ADM,40.91,4/26/2019,0.004724,filing date 0,2019,210,0.05736529665047152
18739,1722,2019-08-01,ADM,41.15,8/1/2019,-0.008965,filing date 0,2019,210,-0.0558621375143219
18803,1722,2019-10-31,ADM,42.04,10/31/2019,-0.002978,filing date 0,2019,210,0.05108738519013967
18876,1722,2020-02-18,ADM,44.45,2/18/2020,-0.00272,filing date 0,2020,210,-0.006805243649191439
18928,1722,2020-05-01,ADM,35.12,5/1/2020,-0.028094,filing date 0,2020,210,-0.0520193325285907
18990,1722,2020-07-30,ADM,43.36,7/30/2020,-0.003731,filing date 0,2020,210,-0.019337189934999
19055,1722,2020-10-30,ADM,46.24,10/30/2020,-0.012335,filing date 0,2020,210,-0.1083693451557346
19129,1722,2021-02-18,ADM,55.82,2/18/2021,-0.004667,filing date 0,2021,205,0.03308804483511518
19177,1722,2021-04-28,ADM,63.1,4/28/2021,-0.000725,filing date 0,2021,205,0.04390254699013174
19239,1722,2021-07-27,ADM,58.85,7/27/2021,-0.004937,filing date 0,2021,205,0.02846685274584415
19303,1722,2021-10-26,ADM,65.36,10/26/2021,0.001774,filing date 0,2021,205,-0.04449232655175339
20934,1891,2017-02-01,ADP,95.25,2/1/2017,0.000183,filing date 0,2017,211,-0.05055087061503705
20998,1891,2017-05-04,ADP,99.1,5/4/2017,0.000723,filing date 0,2017,211,-0.008145038555714024
21062,1891,2017-08-04,ADP,111.39,8/4/2017,0.001795,filing date 0,2017,211,-0.01950214972943487
21125,1891,2017-11-02,ADP,114.34,11/2/2017,0.000223,filing date 0,2017,211,-0.027496020307519742
21186,1891,2018-02-01,ADP,120.42,2/1/2018,-0.000995,filing date 0,2018,211,-0.04087233459528328
21250,1891,2018-05-04,ADP,125.36,5/4/2018,0.01276,filing date 0,2018,211,0.006524550999550183
21313,1891,2018-08-03,ADP,134.25,8/3/2018,0.004733,filing date 0,2018,211,0.024402379893718296
21376,1891,2018-11-01,ADP,140.91,11/1/2018,0.010745,filing date 0,2018,211,-0.016914470714156637
21436,1891,2019-01-31,ADP,139.84,1/31/2019,0.008829,filing date 0,2019,212,0.021130990895177115
21500,1891,2019-05-03,ADP,160.19,5/3/2019,0.009752,filing date 0,2019,212,0.017623597777208566
21568,1891,2019-08-09,ADP,167.73,8/9/2019,-0.006728,filing date 0,2019,212,-0.004758321966473411
21628,1891,2019-11-04,ADP,161.88,11/4/2019,0.003692,filing date 0,2019,212,-0.011445145527256728
21688,1891,2020-01-31,ADP,171.39,1/31/2020,-0.017292,filing date 0,2020,210,0.0050704560327130554
21751,1891,2020-05-01,ADP,140.42,5/1/2020,-0.028094,filing date 0,2020,210,0.007235156027037504
21817,1891,2020-08-05,ADP,134.77,8/5/2020,0.006357,filing date 0,2020,210,-0.005837943121653311
21878,1891,2020-10-30,ADP,157.96,10/30/2020,-0.012335,filing date 0,2020,210,0.0003344120714559029
21940,1891,2021-02-01,ADP,166.35,2/1/2021,0.016281,filing date 0,2021,208,-0.009679137163756568
